station_name_x,lon_x,lat_x,company_name_r_x,station_name_y,lon_y,lat_y,company_name_r_y,type,service,distance,seat
新函館北斗,140.646525,41.9054,JR北海道,仙台,140.882158,38.260027,JR東日本,ＪＲ,新幹線,510.7,指定席
仙台,140.882158,38.260027,JR東日本,古川,140.967876,38.571192,JR東日本,ＪＲ,新幹線,43.2,指定席
古川,140.967876,38.571192,JR東日本,鳴子温泉,140.715939,38.743193,JR東日本,ＪＲ,普通,35.5,自由席
鳴子温泉,140.715939,38.743193,JR東日本,新庄,140.306064,38.76256,JR東日本,ＪＲ,普通,49.2,自由席
新庄,140.306064,38.76256,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,新幹線,421.4,自由席
東京,139.766103,35.681391,JR東日本,新橋,139.758587,35.666195,JR東日本,ＪＲ,特別快速,1.9,自由席
有楽町,139.763806,35.675441,JR東日本,新橋,139.758587,35.666195,JR東日本,ＪＲ,普通,1.1,自由席
新橋,139.758587,35.666195,JR東日本,浜松町,139.757135,35.655391,JR東日本,ＪＲ,普通,1.2,自由席
浜松町,139.756747,35.655666,東京モノレール,羽田空港第２ビル,139.787979,35.550734,東京モノレール,モノレール,区間快速,17.8,自由席
成田空港（第１旅客ターミナル）,140.384644,35.763983,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,特急,86,指定席
品川,139.738999,35.62876,JR東日本,神田,139.770641,35.691173,JR東日本,ＪＲ,普通,8.1,自由席
神田,139.770641,35.691173,JR東日本,新宿,139.700464,35.689729,JR東日本,ＪＲ,中央特快,9,自由席
千駄ケ谷,139.711644,35.681231,JR東日本,新宿,139.700464,35.689729,JR東日本,ＪＲ,普通,1.7,自由席
新宿,139.700464,35.689729,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,10.6,自由席
品川,139.738999,35.62876,JR東日本,大船,139.531127,35.353466,JR東日本,ＪＲ,普通,39.7,自由席
大船,139.531367,35.352359,湘南モノレール,湘南江の島,139.487794,35.311867,湘南モノレール,モノレール,普通,6.6,自由席
湘南海岸公園,139.4833,35.315203,江ノ電,鎌倉高校前,139.500535,35.306698,江ノ電,私鉄,普通,2,自由席
鎌倉高校前,139.500535,35.306698,江ノ電,七里ヶ浜,139.510101,35.306243,江ノ電,私鉄,普通,0.9,自由席
七里ヶ浜,139.510101,35.306243,江ノ電,鎌倉,139.550121,35.318491,江ノ電,私鉄,普通,4.4,自由席
鎌倉,139.550428,35.318793,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,47.1,グリーン車
品川,139.738999,35.62876,JR東日本,熱海,139.077679,35.103573,JR東日本,ＪＲ,特急,97.8,指定席
熱海,139.077679,35.103573,JR東日本,三島,138.911133,35.126253,JR東海,ＪＲ,普通,16.1,自由席
三島,138.911369,35.125946,いずはこ,伊豆長岡,138.947539,35.039907,いずはこ,私鉄,普通,11.4,自由席
沼津,138.860104,35.103011,JR東海,熱海,139.077679,35.103573,JR東日本,ＪＲ,普通,21.6,自由席
熱海,139.077679,35.103573,JR東日本,小田原,139.155772,35.256225,JR東日本,ＪＲ,快速,20.7,自由席
小田原,139.155772,35.256225,JR東日本,熱海,139.077679,35.103573,JR東日本,ＪＲ,快速,20.7,自由席
熱海,139.077679,35.103573,JR東日本,横浜,139.622704,35.466195,JR東日本,ＪＲ,特急,75.8,指定席
横浜,139.622704,35.466195,JR東日本,品川,139.738999,35.62876,JR東日本,ＪＲ,普通,22,自由席
品川,139.738999,35.62876,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,普通,6.8,自由席
東京,139.766103,35.681391,JR東日本,高崎,139.012354,36.322239,JR東日本,ＪＲ,新幹線,105,指定席
高崎,139.012354,36.322239,JR東日本,新前橋,139.046924,36.378936,JR東日本,ＪＲ,SL快速,7.3,指定席
新前橋,139.046924,36.378936,JR東日本,高崎,139.012354,36.322239,JR東日本,ＪＲ,普通,7.3,自由席
高崎,139.012354,36.322239,JR東日本,大宮,139.62405,35.906439,JR東日本,ＪＲ,新幹線,74.7,指定席
大宮,139.62254,35.90751,埼玉新都市交通,鉄道博物館,139.617796,35.920271,埼玉新都市交通,新交通,普通,1.5,自由席
鉄道博物館,139.617796,35.920271,埼玉新都市交通,大宮,139.62254,35.90751,埼玉新都市交通,新交通,普通,1.5,自由席
大宮,139.62405,35.906439,JR東日本,東京,139.766103,35.681391,JR東日本,ＪＲ,普通,30.3,自由席
東京,139.766103,35.681391,JR東日本,秋葉原,139.773288,35.698619,JR東日本,ＪＲ,普通,2,自由席
